Step	Training Loss
600	1.213000
601	1.122700
602	1.439900
603	1.347300
604	1.161500
605	1.096200
606	0.952600
607	1.386200
608	1.068400
609	1.010500
610	0.907300
611	1.062100
612	1.055300
613	1.255700
614	1.174800
615	1.027000
616	1.174900
617	1.135400
618	1.059600
619	1.089500
620	1.010300
621	1.107700
622	1.089600
623	0.861000
624	1.233600
625	1.348700
626	1.295100
627	1.178000
628	0.973700
629	1.025600
630	1.232500
631	1.451400
632	1.079700
633	1.077900
634	1.182900
635	1.067800
636	1.061400
637	1.010300
638	1.097600
639	1.275500
640	1.310900
641	0.903400
642	0.953000
643	1.219000
644	0.888000
645	0.954600
646	1.296800
647	1.335200
648	1.112700
649	1.127300
650	1.013200
651	0.888100
652	1.212500
653	1.169600
654	1.155200
655	1.297500
656	1.100600
657	1.377400
658	1.363600
659	1.318600
660	0.924700
661	0.873400
662	1.080200
663	1.222200
664	1.080400
665	1.143800
666	1.125800
667	1.012000
668	0.970400
669	1.241200
670	1.162600
671	1.247100
672	0.955100
673	1.190500
674	1.042800
675	1.053500
676	1.055800
677	1.157700
678	1.428100
679	0.837200
680	1.050400
681	0.961800
682	0.989700
683	1.083000
684	1.177100
685	1.079000
686	0.998300
687	0.910100
688	1.177100
689	0.893100
690	0.799300
691	1.284200
692	1.375400
693	1.127100
694	1.087400
695	1.193700
696	1.125100
697	1.029600
698	1.214700
699	1.322400
700	1.352500
701	1.356400
702	1.124300
703	0.892200
704	0.896300
705	1.216500
706	1.394000
707	1.235500
708	1.309600
709	1.005300
710	0.942400
711	1.126300
712	1.099200
713	0.992200
714	1.117000
715	1.066600
716	1.137800
717	1.224400
718	1.406500
719	1.250400
720	0.856900
721	1.368700
722	1.406600
723	1.229700
724	1.320100
725	1.143700
726	0.979800
727	1.022100
728	0.863400
729	0.965300
730	1.318600
731	0.898800
732	1.632700
733	1.095600
734	0.947600
735	0.851000
736	0.817800
737	1.110600
738	1.435600
739	1.166200
740	1.337300
741	1.207700
742	0.992900
743	1.298000
744	1.216000
745	0.942000
746	1.255500
747	0.972800
748	0.919100
749	0.883300
750	0.867700
751	1.343900
752	1.085400
753	1.335100
754	0.999800
755	1.443900
756	0.897600
757	1.402300
758	1.251900
759	1.091300
760	1.012300
761	1.149400
762	1.281500
763	0.940500
764	1.154000
765	1.331500
766	1.064400
767	1.217600
768	1.216900
769	1.127000
770	1.209400
771	1.044700
772	0.984200
773	1.432300
774	1.016900
775	0.962200
776	0.864400
777	1.105200
778	1.092600
779	1.247300
780	1.159300
781	1.102200
782	1.341800
783	0.945800
784	1.210300
785	1.231400
786	1.074800
787	1.165600
788	1.529300
789	1.351800
790	1.452400
791	1.395800
792	0.936300
793	1.264500
794	1.159500
795	1.441600
796	1.260100
797	1.512500
798	0.973400
799	1.020800
800	0.900400
801	1.167600
802	1.211100
803	1.205600
804	1.251700
805	0.948800
806	1.060400
807	1.427500
808	1.079600
809	1.121800
810	1.300500
811	1.119200
812	1.280400
813	1.016700
814	0.870600
815	1.228300
816	1.131800
817	1.061300
818	0.948200
819	1.407600
820	1.110500
821	0.849600
822	1.164000
823	1.060200
824	0.918400
825	1.093500
826	1.383400
827	1.508200
828	1.150100
829	0.916200
830	1.063600
831	1.299800
832	0.941000
833	0.993800
834	1.220100
835	1.011600
836	1.457400
837	1.089300
838	1.035200
839	1.102800
840	1.250300
841	1.097800
842	1.129500
843	1.064500
844	1.169200
845	1.139000
846	1.434800
847	0.969900
848	1.527900
849	1.133900
850	1.174100
851	1.019200
852	1.147200
853	1.258000
854	1.046100
855	1.075500
856	1.006800
857	1.332700
858	0.946500
859	1.225800
860	1.056400
861	1.188300
862	1.030400
863	1.165600
864	1.352600
865	1.264300
866	1.102800
867	1.101800
868	1.170100
869	1.223100
870	1.236500
871	0.963800
872	1.020100
873	1.452000
874	0.922100
875	0.974400
876	1.143800
877	1.128700
878	1.059300
879	0.841400
880	0.993000
881	0.853400
882	1.316100
883	0.837700
884	0.710600
885	1.314900
886	0.977800
887	1.003700
888	1.243100
889	1.253300
890	1.087500
891	1.162600
892	0.779800
893	1.096600
894	1.302300
895	1.212200
896	1.000200
897	0.987400
898	1.124700
899	1.277800
900	0.952300
